,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked
0,0,3,272,34.5,0,0.0,7.8292,46
1,1,3,146,47.0,1,0.0,7.0,270
2,0,2,272,62.0,0,0.0,9.6875,46
3,0,3,272,27.0,0,0.0,8.6625,270
4,1,3,146,22.0,1,0.0,12.2875,270
5,0,3,272,14.0,0,0.0,9.225,270
6,1,3,146,30.0,0,0.0,7.6292,46
7,0,2,272,26.0,1,1.0,29.0,270
8,1,3,146,18.0,0,0.0,7.2292,102
9,0,3,272,21.0,2,0.0,24.15,270
10,0,3,272,27.0,0,0.0,7.8958,270
11,0,1,272,46.0,0,0.0,26.0,270
12,1,1,146,23.0,1,0.0,82.2667,270
13,0,2,272,63.0,1,0.0,26.0,270
14,1,1,146,47.0,1,0.0,61.175,270
15,1,2,146,24.0,1,0.0,27.7208,102
16,0,2,272,35.0,0,0.0,12.35,46
17,0,3,272,21.0,0,0.0,7.225,102
18,1,3,146,27.0,1,0.0,7.925,270
19,1,3,146,45.0,0,0.0,7.225,102
20,0,1,272,55.0,1,0.0,59.4,102
21,0,3,272,9.0,0,1.0,3.1708,270
22,1,1,146,27.0,0,0.0,31.6833,270
23,0,1,272,21.0,0,1.0,61.3792,102
24,1,1,146,48.0,1,3.0,262.375,102
25,0,3,272,50.0,1,0.0,14.5,270
26,1,1,146,22.0,0,1.0,61.9792,102
27,0,3,272,22.5,0,0.0,7.225,102
28,0,1,272,41.0,0,0.0,30.5,270
29,0,3,272,27.0,2,0.0,21.6792,102
30,0,2,272,50.0,1,0.0,26.0,270
31,0,2,272,24.0,2,0.0,31.5,270
32,1,3,146,33.0,1,0.0,20.575,270
33,1,3,146,27.0,1,2.0,23.45,270
34,0,1,272,30.0,1,0.0,57.75,102
35,0,3,272,18.5,0,0.0,7.2292,102
36,1,3,146,27.0,0,0.0,8.05,270
37,1,3,146,21.0,0,0.0,8.6625,270
38,0,3,272,25.0,0,0.0,9.5,270
39,0,3,272,27.0,0,0.0,56.4958,270
40,0,3,272,39.0,0,0.0,13.4167,102
41,0,1,272,27.0,0,0.0,26.55,270
42,0,3,272,41.0,0,0.0,7.85,270
43,1,2,146,30.0,0,0.0,13.0,270
44,1,1,146,45.0,1,0.0,52.5542,270
45,0,3,272,25.0,0,0.0,7.925,270
46,0,1,272,45.0,0,0.0,29.7,102
47,0,3,272,27.0,0,0.0,7.75,46
48,1,1,146,60.0,0,0.0,76.2917,102
49,1,3,146,36.0,0,2.0,15.9,270
50,0,1,272,24.0,1,0.0,60.0,270
51,0,2,272,27.0,0,0.0,15.0333,102
52,1,2,146,20.0,2,1.0,23.0,270
53,1,1,146,28.0,3,2.0,263.0,270
54,0,2,272,27.0,0,0.0,15.5792,102
55,0,3,272,10.0,4,1.0,29.125,46
56,0,3,272,35.0,0,0.0,7.8958,270
57,0,3,272,25.0,0,0.0,7.65,270
58,0,3,272,27.0,1,0.0,16.1,270
59,1,1,146,36.0,0,0.0,262.375,102
60,0,3,272,17.0,0,0.0,7.8958,270
61,0,2,272,32.0,0,0.0,13.5,270
62,0,3,272,18.0,0,0.0,7.75,270
63,1,3,146,22.0,0,0.0,7.725,46
64,0,1,272,13.0,2,2.0,262.375,102
65,1,2,272,27.0,0,0.0,21.0,270
66,1,3,146,18.0,0,0.0,7.8792,46
67,0,1,272,47.0,0,0.0,42.4,270
68,0,1,272,31.0,0,0.0,28.5375,102
69,1,1,272,60.0,1,4.0,263.0,270
70,1,3,146,24.0,0,0.0,7.75,46
71,0,3,272,21.0,0,0.0,7.8958,270
72,1,3,146,29.0,0,0.0,7.925,270
73,0,1,272,28.5,0,0.0,27.7208,102
74,1,1,146,35.0,0,0.0,211.5,102
75,0,1,272,32.5,0,0.0,211.5,102
76,0,3,272,27.0,0,0.0,8.05,270
77,1,1,146,55.0,2,0.0,25.7,270
78,0,2,272,30.0,0,0.0,13.0,270
79,1,3,146,24.0,0,0.0,7.75,46
80,0,3,272,6.0,1,1.0,15.2458,102
81,0,1,272,67.0,1,0.0,221.7792,270
82,0,1,272,49.0,0,0.0,26.0,270
83,0,3,272,27.0,0,0.0,7.8958,270
84,0,2,272,27.0,0,0.0,10.7083,46
85,0,3,272,27.0,1,0.0,14.4542,102
86,1,3,146,27.0,0,0.0,7.8792,46
87,1,3,146,18.0,0,0.0,8.05,270
88,1,3,146,27.0,0,0.0,7.75,46
89,0,2,272,2.0,1,1.0,23.0,270
90,1,3,146,22.0,1,0.0,13.9,270
91,0,3,272,27.0,0,0.0,7.775,270
